,mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather
49,8.0,-1.25,1.0,0.014021328954370726,7.603773832807524,0.0,0.0,6.1034865755391605,7.000147569521448,5.519025955746695,4.411743191461815,,,4.545515718419803,3.5410172933715525,,,,
50,7.2,-1.2,0.6,0.08388731446988419,9.7973182654241,1.0,1.0,6.868578804850296,8.777445072525987,8.74282261039957,4.492259013510476,,,4.977395592315122,7.980018458827242,3.3708756217757663,,6.893670553284795,
51,6.4,0.0,0.8,0.09011215278072526,9.516737936770307,8.0,1.0,7.375478810780207,8.736205179565392,6.850678979417777,2.568251591388146,,,4.704245994178779,8.39575071817823,2.1238172143993888,,5.6340500440485215,
52,7.2,0.8,0.4,0.11611033612712222,9.435280308739538,0.0,1.0,6.828293152738581,8.55159770991623,6.05616086829447,,,,3.70828984763376,7.556350601052729,,,5.409800600055892,
53,6.666666666666667,0.3333333333333333,0.6666666666666666,0.05691785667209682,9.617036721843988,2.0,0.0,6.31391211043248,9.380364879024858,4.957522802112085,,,,3.9845854982293614,7.653089704236964,,,3.906367040571989,
54,6.8,-0.8,0.8,0.09403300669497609,9.509757987742784,1.0,0.0,7.528814445897827,8.583291183446736,6.652029133371622,4.780492303761801,,,3.8667954874914567,7.597858832404624,4.15691239282402,,4.4850343847481104,
55,7.8,-0.2,1.0,0.09943191172384026,9.495011516176064,1.0,0.0,6.85244339455105,7.91141932233973,6.151186819603593,4.5604761213372065,3.3701881947878105,,3.44941595393263,5.983109742725229,4.858959327416688,,5.722918212964677,
56,7.25,-0.25,0.75,0.07481624304311596,9.029240228996304,2.0,2.0,6.7991517326024224,8.514133314764885,6.589603002421611,2.3614198787149383,,,3.532284121890862,7.713222600725107,,,4.796079759968579,
57,7.6,-0.2,1.0,0.10204105896824717,8.25140071714451,2.0,0.0,8.143875377172892,7.603073600908,4.315886832169337,3.504535854368343,,,4.0612874814666675,6.061391648732696,4.223587606343174,,5.351298735335937,
58,7.4,0.2,1.0,0.09192955182229205,9.647967363811984,2.0,0.0,7.702083553572021,9.33793405876398,7.0039895771121055,3.6494367163150074,,,4.145671189387441,7.26020490884068,,,6.047880324150362,
59,7.6,0.2,1.0,0.04598568913376553,9.584338204493548,1.0,0.0,7.030717766976174,9.097000550607174,5.850554570994199,2.893201084906324,,,3.747101191314061,6.266437449105889,,,5.509161590275193,
60,7.6,-0.4,1.0,0.0509029881940343,10.002720845049868,1.0,0.0,7.290477722115762,9.179069804500124,8.40401889419078,5.346807485708466,,,3.463639957840863,7.896752086526458,3.935426983207162,,6.573955268781474,
61,7.2,-0.2,0.8,0.10906106363682745,9.544949588515106,2.0,1.0,6.706389119518728,8.892768551859795,6.478251544388063,3.0478976875346704,,,4.231886651240584,7.708722248706335,4.1481380618234915,,5.852127764339667,
62,7.6,-0.2,1.0,0.21424877162423497,9.64743456495278,3.0,4.0,6.76217328290381,7.850826977901109,4.83275187418691,3.305677179804743,,,3.8330880173400037,7.769960189413034,6.15437602454873,1.146767330555157,5.754991932196208,
63,7.5,-0.3333333333333333,1.0,0.030478923798963695,8.648320045459913,0.0,0.0,7.16341558358118,7.796262807305974,7.320011276715633,,,,6.962890981854165,3.3130945001071823,,,4.099962087672807,
64,7.6,-0.8,0.8,0.0196753225383989,9.288026150397648,2.0,0.0,7.179308731698866,8.454758482379917,7.34500195986451,6.142581343647729,,,4.284744511867328,7.79314670654318,,,5.940679018522396,
65,7.0,0.0,1.0,0.10275824852950448,8.971231551167046,0.0,0.0,8.573557078592343,8.251832141068133,7.354063501387532,,5.809057986701323,,3.700610376989635,6.019772567447874,3.737240954991815,,6.017220009307692,
66,7.8,-0.4,0.8,0.15105145904074724,9.12430361070146,1.0,0.0,6.7392928394162475,8.174876951825555,6.224285124604307,5.926984690916256,,,5.224579325961194,4.490499801004487,5.608731594564134,,4.721129337155686,
67,8.0,-0.4,1.0,0.03706526814765703,9.649688382598788,7.0,4.0,7.5369573622937205,9.010841323201243,6.154573552476742,7.1862230296596055,,3.3356983994294596,3.7939149169478172,8.50084874571139,,,5.596824387263647,
68,7.6,-0.2,1.0,0.07734101929677568,9.621689402529821,0.0,0.0,6.678890391995793,8.97789342799916,5.866150726135947,6.975178385699478,,,3.479484703393048,6.648033320547362,,,2.405412402793516,
69,8.0,-0.2,1.0,0.07174088489517204,9.010185054883944,0.0,1.0,6.624406471030622,8.420632950611127,7.923692230981339,5.691416328068633,,,3.7030042281593327,5.325942261160156,4.9672475107532685,3.404591614730171,4.833142062158942,
70,8.0,-0.5,1.0,0.13619180837703837,8.68087459488684,0.0,0.0,7.472181193970902,8.12613056780854,6.8334691371109795,,,,3.5702366739831644,6.203905024328904,,,,
71,,,,0.007842595452107337,7.4892633860186795,0.0,0.0,6.083010834164933,6.717547104413561,5.763666430090136,,,,,3.2230271959906767,,,5.577202105689443,
72,,,,,,4.0,2.0,,,,,,,,,,,,
73,,,,,,3.0,1.0,,,,,,,,,,,,
74,,,,,,6.0,3.0,,,,,,,,,,,,
75,,,,,,2.0,0.0,,,,,,,,,,,,
76,,,,,,6.0,3.0,,,,,,,,,,,,
77,,,,,,4.0,5.0,,,,,,,,,,,,
78,,,,,,4.0,1.0,,,,,,,,,,,,
79,,,,,,7.0,2.0,,,,,,,,,,,,
80,,,,,,9.0,2.0,,,,,,,,,,,,
81,,,,,,3.0,0.0,,,,,,,,,,,,
82,,,,,,9.0,0.0,,,,,,,,,,,,
83,,,,,,9.0,3.0,,,,,,,,,,,,
84,,,,,,3.0,2.0,,,,,,,,,,,,
85,,,,,,1.0,0.0,,,,,,,,,,,,
86,,,,,,4.0,0.0,,,,,,,,,,,,
87,,,,,,9.0,1.0,,,,,,,,,,,,
88,,,,,,3.0,0.0,,,,,,,,,,,,
89,,,,,,12.0,1.0,,,,,,,,,,,,
90,,,,,,5.0,3.0,,,,,,,,,,,,
91,,,,,,11.0,1.0,,,,,,,,,,,,
92,,,,,,4.0,0.0,,,,,,,,,,,,
93,,,,,,11.0,4.0,,,,,,,,,,,,
94,,,,,,6.0,4.0,,,,,,,,,,,,
95,,,,,,7.0,1.0,,,,,,,,,,,,
96,,,,,,3.0,1.0,,,,,,,,,,,,
97,,,,,7.380981834291791,6.0,0.0,5.062297520420049,6.93247813501761,5.078032226082308,,,,5.407561829906579,3.354490046896828,,,,
98,,,,,8.577206803275747,7.0,0.0,7.791980978642451,7.695622920041608,5.8627614793401,,,,,,4.8338981155962015,,,
99,6.333333333333333,0.0,0.0,,8.497526462807205,4.0,1.0,7.816713191329474,8.05573819823708,4.481781467810873,,,,6.011526944582536,5.201756905467716,,,,
100,6.75,0.5,0.5,0.1680684149503257,9.22619098477612,4.0,0.0,7.114238413083239,8.415850371775818,7.828507244737536,,,,4.641492471987442,4.635000795946765,,,,
101,8.2,0.6,0.8,0.21948438425543756,8.414600176334979,15.0,1.0,7.865004060120681,8.277178367185412,4.487995715118588,,,,4.4855078856194055,5.3583017834770486,,,,
102,6.8,0.4,0.4,0.31563175685064315,9.009784414401244,5.0,1.0,7.348946539835255,7.862107975997251,5.278823591552075,,,,4.659052126937134,3.867339397801506,6.34065026668493,,,
103,7.25,-0.5,0.75,0.23902496021034736,8.380303939212382,10.0,1.0,7.483231480107166,7.675254080582432,4.998427750988511,,,,4.464263088172659,4.879751821207344,,,,
104,7.5,-0.75,0.75,0.28962792490010747,9.319719392537435,10.0,1.0,7.7098927296635305,7.958033399498826,6.130365249156919,,,,3.6361113885752805,5.961059461869978,6.091979341197845,,,
105,6.5,-1.0,-0.5,0.44604368683290135,8.934529161596394,25.0,1.0,7.565413096236296,7.52415963459507,6.496640742864385,,,,3.7659330835562277,6.0129006434884,6.66008463262877,,,
106,6.25,-1.0,0.0,0.26969715703353236,8.418152000183374,8.0,1.0,6.796271610584187,7.5174659577921,5.96125788505058,,,,4.124954591665939,5.147459592484072,7.1413947548604515,,,
107,6.4,0.2,-0.2,0.15612466250149995,7.925392119356163,5.0,0.0,6.9786758911824105,8.010419680075762,6.276667925133314,,,,4.404375038337643,5.450184011380703,,,,
108,7.75,-1.25,0.75,0.23051365485645373,8.441906555683124,7.0,0.0,7.939846994656121,7.933349104330273,6.130332611832655,,,,3.9194950202668473,5.000227992181047,,,,
109,7.2,-1.2,0.4,0.29395346240584214,8.711052926813432,5.0,0.0,7.459767374838362,7.8374947695238655,6.6426901705168575,,,,3.7364784329132155,7.353737055003132,,,,
110,7.25,0.0,0.5,0.22884900892215096,8.656429952212822,3.0,0.0,7.72626734685021,8.005381414894751,6.195997999780977,,,,6.59557967412221,4.398957495333863,,,4.207122500657789,
111,6.8,-0.6,0.6,0.26159832807813954,8.286415826331957,8.0,2.0,6.959507717946682,7.126992811728471,6.561935489800413,,,,4.833651466246782,7.907362737690545,,,,
112,7.25,-0.75,0.25,0.432469355060395,8.390096593341756,4.0,0.0,9.765160679955565,7.669256660455728,6.969102463216873,,,,3.967287404531823,6.261213019543421,6.217890704769844,,,
113,7.0,-1.0,0.75,0.24188730879396786,8.27818495861943,10.0,1.0,6.650003460810648,7.0128861682778485,7.153516315689049,,,,4.72940348500648,5.77734577469347,,,,
114,7.2,-0.8,0.4,0.15637292366427655,8.470970388583055,14.0,2.0,7.078593655709609,7.816546761646739,5.872019193065654,,,,4.403555711973703,7.620033783132969,,,,
115,7.4,-0.2,0.8,0.26196053218905446,8.100992056984722,2.0,1.0,7.933801892723968,7.187362336076942,4.343493684957098,,,,5.227964642308867,5.252906735318642,5.844123959209273,,,
116,6.4,-0.6,-0.2,0.3191205617996335,8.836930171798143,2.0,0.0,7.582845407841964,7.986988670567738,6.928982381427757,,,,4.8578259365161935,5.761740013555094,,,,
117,5.75,-0.25,0.0,0.32250583990998866,8.826778624387934,2.0,0.0,7.146220058558006,8.18741915170342,6.3077103880844625,,,,4.02770605988889,4.807465923989463,5.762975483969005,,,
118,6.4,-1.2,0.2,0.22727035660896047,8.203405308509597,5.0,0.0,7.022590864059454,7.9407390304387215,6.696698388803074,,,,5.002952523716832,4.951026822490944,,,,
119,7.4,0.0,0.6,0.32191972248052525,9.477916110135963,9.0,1.0,7.57921242220764,7.744855173571456,6.677692847322133,,,,4.614100194509222,5.555325002169368,5.961188312573424,,,
120,4.5,-1.0,-1.25,0.21520952016085249,8.202473679005127,6.0,0.0,6.356775840192022,7.110142500370353,6.428072961984905,,,,3.4015639811230276,5.970092789370289,,,,
121,6.8,0.0,0.6,0.13652373439609958,8.758809387683282,2.0,0.0,7.301787277463834,8.232487751062864,6.603829996984143,,,,4.664834346709402,7.604986110079666,,,,
122,6.25,-0.25,0.5,0.26195103762156396,8.31364440252952,10.0,1.0,7.0773106942464175,7.7257074501318925,5.265174147954783,,,,4.901073372286445,6.455596282981317,,,,
123,7.25,-0.5,0.25,0.24720984804489024,8.658245778914909,12.0,1.0,7.263345034316651,7.721146907879754,6.441322865348182,,,,4.117360974024558,5.684671008453155,,,,
124,7.25,0.25,0.75,0.2607506038432931,8.967534655828546,1.0,1.0,7.1727714087599805,7.910677549049632,6.544377923983729,,,,4.9502764702857345,6.34001885777555,6.263613477526466,,0.7153977894947651,
125,6.5,-0.5,0.5,0.4244814273084369,8.667341013544068,7.0,1.0,7.344843077466215,7.759525836217089,6.552114086252743,,,,4.913595619577772,5.76721100498184,6.4471933364005585,,,
126,6.0,-2.0,-1.0,0.3783017333120427,8.204895697055544,6.0,1.0,7.510248821200692,7.324336374934971,,,,,2.399348761426354,5.057467988114895,5.892155131008091,,1.9439081463846402,
127,7.2,-0.6,0.4,0.28982011828279997,7.684724630346466,1.0,0.0,6.236199321305647,6.751357576489299,5.917602698509527,,,,4.37086456996769,4.812761424608291,5.0729588640395225,,,
128,8.0,0.75,1.0,0.18707405017212794,7.927700552504745,8.0,7.0,6.696999679167766,7.5079518437757455,4.561970366681872,,,,3.0531517644214774,4.039835576721708,,,4.436609512444173,
129,7.25,-0.5,0.5,0.1736288831786874,6.552917218963976,14.0,1.0,4.587678087363543,6.1001328360468525,2.9784843801444376,,,,,3.2341978409659857,,,,
130,6.666666666666667,-0.3333333333333333,0.3333333333333333,0.3532763532763534,4.693949995459008,16.0,1.0,4.829377171655498,,,,,,,,,,,
131,6.5,0.0,-0.5,0.4700854700854705,3.7192874019593147,10.0,7.0,0.6966410698142012,3.6270306457868693,,,,,,,,,,
132,6.5,0.0,0.0,,,3.0,0.0,,,,,,,,,,,,
133,5.666666666666667,-0.6666666666666666,-0.3333333333333333,0.5,5.2328290613174016,1.0,0.0,2.3115448343655176,4.281391050039134,,,,,,,,,,
134,5.0,-0.6666666666666666,0.0,,,9.0,3.0,,,,,,,,,,,,
135,,,,,,8.0,0.0,,,,,,,,,,,,
136,5.666666666666667,-1.3333333333333333,-0.3333333333333333,0.075,2.5710843584239056,15.0,2.0,,,,,,,,4.671772201655672,,,,
137,5.5,0.0,0.5,0.142857142857143,,7.0,1.0,,,,,,,,,,,,
138,7.0,-0.5,-0.5,0.0344827586206897,,0.0,0.0,,,,,,,,,,,,
139,9.0,-1.0,1.0,,,0.0,0.0,,,,,,,,,,,,
140,,,,,,0.0,1.0,,,,,,,,,,,,
141,,,,,,2.0,0.0,,,,,,,,,,,,
142,,,,,,2.0,1.0,,,,,,,,,,,,
143,,,,,,1.0,0.0,,,,,,,,,,,,
144,,,,,,16.0,2.0,,,,,,,,,,,,
145,,,,,,10.0,5.0,,,,,,,,,,,,
146,,,,,,2.0,0.0,,,,,,,,,,,,
147,,,,,,1.0,0.0,,,,,,,,,,,,
148,,,,,,0.0,1.0,,,,,,,,,,,,
149,,,,,,1.0,1.0,,,,,,,,,,,,
150,,,,,,2.0,0.0,,,,,,,,,,,,
151,,,,,,7.0,3.0,,,,,,,,,,,,
152,,,,,,2.0,0.0,,,,,,,,,,,,
153,,,,,,1.0,1.0,,,,,,,,,,,,
154,,,,,,1.0,1.0,,,,,,,,,,,,
155,,,,,,2.0,0.0,,,,,,,,,,,,
156,,,,,,2.0,3.0,,,,,,,,,,,,
157,,,,,,0.0,3.0,,,,,,,,,,,,
158,,,,,,4.0,0.0,,,,,,,,,,,,
159,,,,,,3.0,0.0,,,,,,,,,,,,
160,,,,,,3.0,0.0,,,,,,,,,,,,
161,,,,,,22.0,1.0,,,,,,,,,,,,
162,,,,,,5.0,1.0,,,,,,,,,,,,
163,,,,,,2.0,0.0,,,,,,,,,,,,
164,,,,,,5.0,2.0,,,,,,,,,,,,
165,,,,,,1.0,1.0,,,,,,,,,,,,
166,,,,,,2.0,2.0,,,,,,,,,,,,
167,,,,,,11.0,1.0,,,,,,,,,,,,
168,9.0,1.0,2.0,,7.417552774975769,5.0,2.0,5.124291306778189,7.452831013669977,6.852260539292104,,,2.307174545327853,6.298191606978143,,,,,
